Red Checkpoint;Blue Checkpoint;Game Moves;Winner
14;0;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
14;1;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
14;2;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
14;3;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
14;4;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
14;5;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
14;6;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
14;7;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 K2 K1 D3 A5;Blue
12;1;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 D5 A5 D3 C3 E2 K2;Blue
13;1;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 E3 E4 C5 C4 B5 B4 I3 I2 H3 H2 G3 G2 D5 A5 D3 C3 E2 K2;Blue
10;4;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 I3 I2 H2 H3 C3 C4 D3 C5 E4 E3 E2 F4 D5 A6 F1 K2 E8 B5;Blue
8;0;K11 K11 G7 F10 H5 F9 H8 H9 G9 G10 E10 E9 D10 D9 A10 A11 C10 C9 B10 B8 B9 C8 I9 I8 J7 J8 K7 K8 J9 A9;Blue
13;0;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
14;0;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
8;1;K11 K11 G7 F10 H5 F9 H8 H9 G9 G10 E10 E9 D10 D9 A10 A11 C10 C9 B10 B8 B9 C8 I9 I8 J7 J8 K7 K8 J9 A9;Blue
10;1;H8 H8 F6 E8 B9 B10 G7 F9 C9 C10 D9 D10 E9 E10 G9 G8 I7 I8 K7 J9 G10 H9 F10 H7 I6 J8 K8 K9 F8 A10;Blue
13;1;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
14;1;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
8;2;K11 K11 G7 F10 H5 F9 H8 H9 G9 G10 E10 E9 D10 D9 A10 A11 C10 C9 B10 B8 B9 C8 I9 I8 J7 J8 K7 K8 J9 A9;Blue
10;2;H8 H8 F6 E8 B9 B10 G7 F9 C9 C10 D9 D10 E9 E10 G9 G8 I7 I8 K7 J9 G10 H9 F10 H7 I6 J8 K8 K9 F8 A10;Blue
13;2;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
14;2;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
8;3;K11 K11 G7 F10 H5 F9 H8 H9 G9 G10 E10 E9 D10 D9 A10 A11 C10 C9 B10 B8 B9 C8 I9 I8 J7 J8 K7 K8 J9 A9;Blue
9;3;I7 I7 F6 E8 B9 B10 G7 F9 H8 H9 J8 I10 K9 J11 D10 D9 E9 F8 D8 C9 A10 A11 C10 K6 I8 J10 I9 H10 K10 K11;Blue
10;3;I7 I7 F6 E8 B9 B10 G7 F9 H8 H9 J8 I10 K9 J11 D10 D9 E9 F8 D8 C9 A10 A11 C10 K6 I8 J10 I9 H10 K10 K11;Blue
13;3;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
13;3;I7 I7 F6 E8 B9 B10 G7 F9 H8 H9 J8 I10 K9 J11 D10 D9 E9 F8 D8 C9 A10 A11 C10 K6 I8 J10 I9 H10 K10 K11;Blue
14;3;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
10;4;H8 H8 F6 E8 B9 B10 G7 F9 C9 C10 D9 D10 E9 E10 G9 G8 I7 I8 K7 J9 G10 H9 F10 H7 I6 J8 K8 K9 F8 A10;Blue
8;5;K11 K11 G7 F10 H5 F9 H8 H9 G9 G10 E10 E9 D10 D9 A10 A11 C10 C9 B10 B8 B9 C8 I9 I8 J7 J8 K7 K8 J9 A9;Blue
13;5;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
14;5;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
8;6;K11 K11 G7 F10 H5 F9 H8 H9 G9 G10 E10 E9 D10 D9 A10 A11 C10 C9 B10 B8 B9 C8 I9 I8 J7 J8 K7 K8 J9 A9;Blue
10;6;H8 H8 F6 E8 B9 B10 G7 F9 C9 C10 D9 D10 E9 E10 G9 G8 I7 I8 K7 J9 G10 H9 F10 H7 I6 J8 K8 K9 F8 A10;Blue
13;6;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
14;6;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
8;7;K11 K11 G7 F10 H5 F9 H8 H9 G9 G10 E10 E9 D10 D9 A10 A11 C10 C9 B10 B8 B9 C8 I9 I8 J7 J8 K7 K8 J9 A9;Blue
9;7;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 D2 D3 I2 J3 I3 I4 H4 G5 E4 F4 E6 A4 F5 K3 F9 B4;Blue
10;7;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 D2 D3 I2 J3 I3 I4 H4 G5 E4 F4 F5 A4 G6 B4 F1 K2;Blue
10;7;H8 H8 F6 E8 B9 B10 G7 F9 C9 C10 D9 D10 E9 E10 G9 G8 I7 I8 K7 J9 G10 H9 F10 H7 I6 J8 K8 K9 F8 A10;Blue
11;7;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 J7 I9 K8 D10 F9 F10 G9 G10 H9 H10 C10 B11 K9 K10 I10 J9 A10 A11;Blue
13;7;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
14;7;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 C8 B9 D8 A9 G6 K5;Blue
15;1;H7 H7 I8 I9 J8 J9 H9 G11 F10 E11 F11 F6 H5 I2 J2 G7 J6 I6 J5 I5 K3 J4 K4 J3 K2 J7 I7 J1 K1 G10 G9;Red
15;3;B7 B7 G7 I10 F9 H5 F6 G4 E5 F3 D4 C3 E2 E8 B9 B10 G6 E4 D5 E3 D3 E1 F1 F2 D11 E9 E10 F8 G8 F7 F5;Red
15;5;B7 B7 G7 I10 F9 H5 F6 G4 E5 F3 D4 C3 E2 E8 B9 B10 G6 E4 D5 E3 D3 E1 F1 F2 D11 E9 E10 F8 G8 F7 F5;Red
15;7;B7 B7 G7 I10 F9 H5 F6 G4 E5 F3 D4 C3 E2 E8 B9 B10 G6 E4 D5 E3 D3 E1 F1 F2 D11 E9 E10 F8 G8 F7 F5;Red
12;0;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 C8 D8 B9 H5 A9;Blue
12;1;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 C8 D8 B9 H5 A9;Blue
12;2;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 C8 D8 B9 H5 A9;Blue
8;3;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I10 I11 J11 J9 H10 G11 K10 K9 C10 B11 I8 D10 D9 A10;Blue
12;3;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 B9 H5 C8 D8 A9;Blue
9;4;H4 H4 F6 F7 E7 D9 E8 E9 A10 C8 B8 A11 C10 B10 C9 B9 I6 H8 J7 I9 K8 J10 G9 G8 I7 I8 H7 F8 H6 J9 K9 K10;Blue
10;4;H4 H4 F6 F7 E7 D9 E8 E9 A10 C8 B8 A11 C10 B10 C9 B9 I6 H8 J7 I9 K8 J10 G9 G8 I7 I8 H7 F8 H6 J9 K9 K10;Blue
11;4;H4 H4 F6 F7 E7 D9 E8 E9 A10 C8 B8 A11 C10 B10 C9 B9 I6 H8 J7 I9 K8 J10 G9 G8 I7 I8 H7 F8 H6 J9 K9 K10;Blue
12;4;H4 H4 F6 F7 E7 D9 E8 E9 A10 C8 B8 A11 C10 B10 C9 B9 I6 H8 J7 I9 K8 J10 G9 G8 I7 I8 H7 F8 H6 J9 K9 K10;Blue
13;4;H4 H4 F6 F7 E7 D9 E8 E9 A10 C8 B8 A11 C10 B10 C9 B9 I6 H8 J7 I9 K8 J10 G9 G8 I7 I8 H7 F8 H6 J9 K9 K10;Blue
13;4;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I11 I10 J9 D10 H10 G11 K10 K9 C10 B11 I8 H9 H8 A10;Blue
14;4;H4 H4 F6 F7 E7 D9 E8 E9 A10 C8 B8 A11 C10 B10 C9 B9 I6 H8 J7 I9 K8 J10 G9 G8 I7 I8 H7 F8 H6 J9 K9 K10;Blue
8;5;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 I2 J3 D3 D2 F1 G2 H4 G5 I5 I4 F5 A4 G6 B4 H6 K3 E4 F4;Blue
8;5;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I10 I11 J11 J9 H10 G11 K10 K9 C10 B11 I8 D10 D9 A10;Blue
11;5;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 I2 J3 D3 D2 F1 G2 H4 G5 I5 I4 F5 A4 G6 B4 H6 K3 E4 F4;Blue
12;5;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 B9 H5 C8 D8 A9;Blue
15;5;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 I2 I3 C3 C4 D3 C5 E4 E3 A6 B4 E8 F4 D5 F5 E6 B5 F1 K2 E2 A5 G11 H4;Blue
